store_name,short_name,keywords
隠れ家 鮨十 西麻布本店,鮨十,SUSHITOU
隠れ家鮨 十(トウ) 西麻布店,鮨十,トウ
隠れ家鮨 十-Tou- 西麻布本店,鮨十,Tou
Lounge&Bar 奥の間 西麻布店,OKUNOMA,Lounge
鮨十 奥の間 西麻布店,OKUNOMA,"鮨十,OKUNOMA"
AKARI by 鮨十 台湾本店,AKARI台湾,AKARI
