store_name,short_name,keywords
う福 大井町店,う福大井町,"う福,大井町"
う福 蒲田店,う福蒲田,"う福,蒲田"
もつ焼き大行進 大井町店,大行進大井町,"大行進,大井町"
焼売のジョー 巣鴨店,巣鴨ジョー,"ジョー,巣鴨"
CONA 大井町店,CONA大井町,"CONA,大井町"
Number.9 自由が丘店,NO9,"Number.9,自由が丘"
Number.6 巣鴨店,NO6,"Number.6,巣鴨"
